LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (бу)
-0.190655621,-0.042865061,-0.23684821,0.693530162
-0.194148146,-0.169216497,-0.410790226,0.66754464
-0.221518896,-0.135429298,-0.36679367,0.651887721
-0.682611612,-0.557522644,-0.802511948,0.666112795
-0.327610677,-0.214123152,-0.466619088,0.709861575
-0.457400849,-0.297442131,-0.562561502,0.709999452
-0.626794353,-0.469248659,-0.730012746,0.724425999
-0.544671276,-0.373608041,-0.641152216,0.791197089
-0.71924049,-0.55376846,-0.799598091,0.754429038
-0.811117702,-0.671686118,-0.884721952,0.80181326
-0.912796488,-0.902263102,-1.013036645,0.820711248
-0.833459663,-0.701658309,-0.904436588,0.880685283
-0.759582817,-0.595527129,-0.831220175,0.869673607
-0.620543681,-0.427223091,-0.692372303,0.923176182
-0.476532035,-0.262793409,-0.523845651,0.9473206
-0.447831108,-0.281738969,-0.545221678,0.951533117
-0.428816419,-0.231236501,-0.487124018,0.94683172
-0.595090142,-0.389888464,-0.657098622,0.9547169
-0.692849091,-0.49378992,-0.751030839,1.002236895
-0.833440383,-0.7238659,-0.91859857,1.036272013
-0.968385341,-1.049413587,-1.050733404,1.234060135
-0.97402898,-0.875227374,-1.001241313,1.301697808
-0.96454759,-0.993516557,-1.041688024,1.22754741
-0.97402898,-1.245862031,-1.062719344,1.231087374
-0.97402898,-1.256302719,-1.062719344,1.192399731
-0.97402898,-1.170775066,-1.062719344,1.070928709
-0.97402898,-1.130991477,-1.062719344,1.100018396
-0.97402898,-1.044027593,-1.050143132,1.047360071
-0.97402898,-1.005153301,-1.044103664,1.170310516
-0.97402898,-0.836078749,-0.981482161,1.268872669
-0.923344684,-0.861427631,-0.994637988,1.05202004
-0.852787206,-0.710105478,-0.909866806,1.090512681
-0.935300579,-0.890791525,-1.008216363,1.040814334
-0.90629302,-0.78668388,-0.956783232,1.062648995
-0.787911868,-0.579166478,-0.819035035,1.043984361
-0.772174876,-0.606834731,-0.839493031,1.067111697
-0.524955166,-0.356908772,-0.624428049,0.958727781
-0.74468906,-0.568881197,-0.81124132,0.99390831
-0.759140034,-0.576669287,-0.817152351,0.896714403
-0.34152696,-0.234806397,-0.491348727,0.91750965
-0.295606245,-0.100999815,-0.320122202,0.953219353
-0.086757644,0.048640202,-0.094024868,0.882878361
0.101588291,0.162298586,0.100822294,0.807632557
-0.048406388,0.023221304,-0.134858087,0.906208466
0.018375531,0.063590552,-0.06950565,0.814690477
0.451672013,0.247014703,0.256913824,0.749271613
0.506972605,0.394156507,0.543245423,0.767389919
0.258306712,0.242352584,0.248124439,0.781393451
0.254903306,0.134789429,0.051977074,0.859229296
0.144375161,0.123497714,0.032220152,0.929653953
0.091014845,0.071113331,-0.057031817,0.9680639
0.147651803,0.084032089,-0.035403425,0.973385741
0.481333937,0.276346653,0.312679293,0.93489844
0.378124817,0.218501381,0.203499366,0.951442979
0.570571548,0.395649193,0.546219108,0.978413704
0.430656479,0.298484115,0.355262869,0.944334083
0.531949137,0.411644106,0.578143991,0.917265615
0.485675884,0.421369374,0.597605014,0.869951464
0.216469915,0.199724222,0.168791052,0.843762201
0.326099367,0.254316541,0.270721806,0.769786738
0.509206913,0.325428267,0.407608384,0.761193242
0.608338959,0.365408286,0.48618475,0.753156269
0.615618136,0.398515867,0.5519328,0.773853934
0.590764429,0.310531365,0.378601114,0.819320831
0.250947651,0.164456252,0.104694676,0.79743746
-0.21010531,-0.134307003,-0.365302023,0.828404339
-0.100497845,-0.033595065,-0.223022832,0.833163022
-0.000206735,0.026953019,-0.128932556,0.821564885
-0.204052566,-0.113089164,-0.336726765,0.788523546
-0.073566504,-0.079845523,-0.2904879,0.820217029
-0.012280252,-0.003364372,-0.176833387,0.79668545
-0.112877865,-0.115880716,-0.340527304,0.785496735
-0.065368757,-0.064193767,-0.268075705,0.760390257
-0.257937236,-0.202121293,-0.451987309,0.731398151
-0.214003349,-0.157383153,-0.395579857,0.718747816
-0.397542287,-0.239459437,-0.496828116,0.670139696
-0.339770688,-0.213607622,-0.465994872,0.692279725
-0.116472449,-0.085218807,-0.298085943,0.746682706
-0.216113894,-0.173271737,-0.415954209,0.782096589
-0.192007457,-0.145609385,-0.38023443,0.76903489
-0.467724659,-0.315260404,-0.581823755,0.743834066
-0.413720913,-0.304223333,-0.569943958,0.725750715
-0.310017817,-0.235760064,-0.492474259,0.766222338
0.056924152,0.027903055,-0.127420156,0.802334019
0.008426529,-0.013751782,-0.192897929,0.794607916
0.063954396,0.009429902,-0.15676074,0.836618351
-0.175430631,-0.092641499,-0.308502299,0.816698102
-0.301174108,-0.129995984,-0.359553858,0.761693773
-0.394887041,-0.256044207,-0.516109611,0.78216666
-0.111980767,-0.056091571,-0.256307672,0.803953421
-0.276764404,-0.186963619,-0.433208419,0.817690748
-0.198465528,-0.117508441,-0.342737581,0.761561236
0.413892226,0.217167564,0.20102125,0.751712934
0.850052148,0.502592193,0.742234172,0.738265116
0.392554063,0.239165449,0.242128052,0.715840919
0.051349351,0.01738174,-0.144123309,0.740342812
0.226446577,0.140140244,0.061399927,0.739915427
0.225809007,0.124577908,0.034102542,0.762682212
0.15119735,0.073065261,-0.053780608,0.826204787
0.03397303,0.009813456,-0.15615405,0.87705599
-0.384879673,-0.238188146,-0.495334098,0.830846793
-0.756461864,-0.636020522,-0.860303065,0.844074042
-0.44627253,-0.275302513,-0.538015549,0.910438946
-0.616290806,-0.456958908,-0.719224554,0.832122637
-0.700881187,-0.511410855,-0.765702524,0.908663542
-0.614699646,-0.409119875,-0.675490071,1.011937773
-0.309369277,-0.200333111,-0.449789404,0.954188697
0.188061567,0.061245761,-0.07337518,0.918299689
0.171722049,0.112982868,0.0139822,1.006538417
0.565551339,0.367395508,0.490115313,1.05017052
0.240683802,0.157566792,0.092350668,1.033741525
0.125577059,0.090136737,-0.025093757,0.978005415
0.196372952,0.132617352,0.048163057,1.003102345
0.326546416,0.174784541,0.123311038,0.986692447
0.389350366,0.196953323,0.16370238,0.940396187
0.466444609,0.255782446,0.273499954,0.931142922
0.222691382,0.128695448,0.041292766,0.917402521
0.417040604,0.221558471,0.209186297,0.868892954
0.321058437,0.169964914,0.114607469,0.808113992
0.840388834,0.518311581,0.779345329,0.81070387
0.56280463,0.371489104,0.49821888,0.796160483
-0.075396893,-0.032455295,-0.221312189,0.713201198
0.031565828,0.023901149,-0.133780374,0.641913194
-0.391041602,-0.286939086,-0.551001619,0.683962953
-0.591376671,-0.456928155,-0.719197335,0.77921607
-0.718654606,-0.550788989,-0.797275297,0.772570808
-0.779254625,-0.659498042,-0.876497993,0.734996535
-0.835457074,-0.725051743,-0.919344559,0.889933207
-0.775582267,-0.615861997,-0.846012161,0.783633298
-0.87186966,-0.598177742,-0.833170205,0.685946143
-0.97402898,-1.078746728,-1.062719344,-1.297370677
